m,#StocksSelected,2019_return_error,2019_return_RMSE,2020_return_error,2020_return_RMSE
5,5,0.49925869205463597,0.0028589246578478284,0.7773624845503464,0.00418077151184521
10,10,0.3046679689893624,0.0016625566497802163,0.6405179674062256,0.003532893531539267
15,15,0.2347978069610213,0.0013218163209036341,0.698479497453663,0.0036988189189838833
20,21,0.2095363770840418,0.0012162565671989354,0.6088299508441254,0.003293844550139811
25,25,0.23596084943158305,0.001332103891438337,0.6554722552901999,0.003458059717709471
30,29,0.18262927315156746,0.0009938035865236772,0.4854228911422722,0.0026054683014885382
35,35,0.17266590038195467,0.0009749894324043034,0.4769197466212817,0.002569800706388796
40,39,0.13512206468626703,0.0007820059047137107,0.4112857690780359,0.0022866837069589075
45,45,0.10389479580467673,0.0006124386049295833,0.3787382583305461,0.0020800898130932687
50,50,0.07208126364649585,0.0004453593314121887,0.3796100862490798,0.002071479215051515
55,54,0.07224308766895766,0.00044200951615092695,0.4043606731173249,0.002262987456006277
60,59,0.06246928356410303,0.00039823431100748075,0.3872330790329113,0.002117373149617255
65,65,0.05227053110303598,0.00031594986175339184,0.3677515751988919,0.0020642356045625586
70,70,0.04827965405617959,0.0003090299333594384,0.36370545475851185,0.002021977056778617
75,75,0.046548371068955506,0.00030028029624526355,0.3698531707918353,0.0020862124467002203
80,80,0.04522712088761293,0.0002956965998619255,0.3706285957205264,0.0020953054066811853
85,85,0.04496566084502063,0.0003008062885366395,0.3610194322421359,0.002043813959582221
90,88,0.044910816460638305,0.0002989428739374243,0.36867085361031693,0.0020819640068757863
95,88,0.04491081640839286,0.00029894287393742477,0.3686708536103173,0.002081964006875789
100,88,0.0449108164083929,0.0002989428739374261,0.36867085361031715,0.0020819640068757868
