m,#StocksSelected,Selection_Obj_Val,2019_return_error,2019_return_RMSE,2020_return_error,2020_return_RMSE
5,5,54.83990652229108,0.7891782824631471,0.004399606152430161,1.1124373455076464,0.006248354722298066
10,10,59.33193035090515,0.7012177959266304,0.0037900707778660407,1.1024044007151053,0.006221139134593497
15,15,63.268591486319345,0.5822760082911881,0.003218098817781874,1.2646892450924831,0.007145159327682072
20,20,66.64807519693721,0.47883578791133563,0.00265274002226374,0.8995975248049078,0.0050878783707263365
25,25,69.76475537930261,0.4429662824315858,0.002471866495354016,0.8050650113947341,0.004771722286696268
30,30,72.69679724219556,0.4180147550230181,0.002398527481560851,0.7691103647201496,0.004666275173996717
35,35,75.50589543031398,0.382997456645814,0.0021853949633110488,0.7667738507704889,0.004419207956309973
40,40,78.25915673643755,0.3705172225552055,0.0021565414246475217,0.7910472207956691,0.004471225880430164
45,45,80.89208386827724,0.34394449623109136,0.0021016494117280576,0.7604945653754235,0.004267269635641342
50,50,83.31626769368145,0.33254009291547565,0.001968263812960456,0.7720996592107854,0.004310602950256451
55,55,85.63630917586964,0.3122492090945182,0.0018587406939581982,0.796320441603154,0.00452803886963327
60,60,87.8775051221956,0.34488997906451374,0.0020464137793039785,1.0973035971624083,0.005957330779092392
65,65,90.02343783495635,0.17776462119548841,0.0010598107818473293,0.5587497953651943,0.002880093876017869
70,70,92.06240170166684,0.16982371827530895,0.0010124717893598009,0.5578542933361194,0.002955118692586083
75,75,94.0078097695173,0.15894930732432014,0.0009767261432174236,0.5610733378247444,0.0030216143022985483
80,80,95.72885323821271,0.14768252800096124,0.0008843520835418678,0.5373227700587149,0.002923200582666342
85,85,97.21207589646733,0.11086111759355674,0.0007107013199789291,0.45187516898707947,0.002454963402749001
90,90,98.51712095960497,0.053779189845472,0.0003496950669396506,0.36778952235810997,0.0020507458787425367
95,95,99.53070159520283,0.048666430776749404,0.0003218232260784704,0.3689707298354131,0.002076718366026105
100,100,100.0,0.04491081635614749,0.0002989428739374261,0.36867085361031715,0.0020819640068757868
